Symbol,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,% Bonus,Right Share
MBL,-10.38%,"10.76
                                
                                    (FY:080-081, Q:4)",21.65,148.82,1.57,,,"10:1.2
                                
                                    (FY:072-073)"
MBLD87,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,985.00,,,
MCHL,138.07%,"1.54
                                
                                    (FY:080-081, Q:3)",337.01,75.34,6.89,,,
MDB,63.58%,"14.36
                                
                                    (FY:080-081, Q:4)",44.22,144.50,4.39,,,"2:1
                                
                                    (FY:071-072)"
MEHL,0.00%,"-5.22
                                
                                    (FY:080-081, Q:3)",-75.29,73.24,5.37,,,
MEL,54.18%,"-12.04
                                
                                    (FY:080-081, Q:3)",-24.84,66.11,4.52,,,
MEN,-12.91%,"18.21
                                
                                    (FY:080-081, Q:3)",42.75,151.72,5.13,,,
MERO,56.32%,"16.63
                                
                                    (FY:080-081, Q:4)",53.58,160.53,5.55,,,
MFIL,45.67%,"19.67
                                
                                    (FY:080-081, Q:4)",37.10,167.02,4.37,,,
MFLD85,6.09%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,028.00",,,
MHCL,138.27%,"-3.02
                                
                                    (FY:080-081, Q:3)",-152.98,77.53,5.96,,,
MHL,238.25%,"-0.03
                                
                                    (FY:080-081, Q:3)","-31,333.33",106.07,8.86,"0.25
                                
                                    (FY:079-080)","4.75
                                
                                    (FY:079-080)",
MHNL,41.94%,"-4.41
                                
                                    (FY:080-081, Q:3)",-70.07,56.76,5.44,,,
MKCL,0.00%,"4.05
                                
                                    (FY:080-081, Q:3)",413.58,93.75,17.87,,,"1:0.55
                                
                                    (FY:079-080)"
MKHC,92.09%,"-30.21
                                
                                    (FY:080-081, Q:3)",-13.67,70.03,5.90,,,
MKHL,125.78%,"0.89
                                
                                    (FY:080-081, Q:3)",640.56,100.71,5.66,"10.00
                                
                                    (FY:078-079)",,
MKJC,74.32%,"2.18
                                
                                    (FY:080-081, Q:3)",295.87,101.85,6.33,"0.12
                                
                                    (FY:079-080)","2.22
                                
                                    (FY:079-080)",
MLBBL,74.21%,"20.44
                                
                                    (FY:080-081, Q:3)",73.04,169.41,8.81,,,
MLBL,37.42%,"11.27
                                
                                    (FY:080-081, Q:4)",38.78,160.44,2.72,,,
MLBS,95.61%,"-8.78
                                
                                    (FY:080-081, Q:3)",-158.43,117.85,11.80,,,
MLBSL,6.68%,"24.68
                                
                                    (FY:080-081, Q:3)",83.88,201.86,10.26,,,
MMF1,28.47%,"0.00
                                
                                    (FY:079-080, Q:2)",0.00,0.00,0.00,,,
MMKJL,0.00%,"-4.23
                                
                                    (FY:080-081, Q:3)",-163.12,92.00,7.50,,,
MNBBL,4.37%,"18.15
                                
                                    (FY:080-081, Q:4)",22.92,149.71,2.78,,,
MND84/85,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,995.00,,,
